Block_ID,Prev_Blk_ID,Arrival_time,Time_addn_to_tree,Num_txnsis_malicious_mined
16,1,2.53317e+07,2.53317e+07,10
5,1,3.88951e+07,3.88951e+07,10
6,1,4.82895e+07,4.82895e+07,10
28,6,1.49313e+08,1.49313e+08,10
14,28,1.64639e+08,1.64639e+08,60
26,5,2.08096e+08,2.08096e+08,10
8,6,2.36305e+08,2.36305e+08,80
4,14,2.9864e+08,2.9864e+08,70
9,8,3.05895e+08,3.05895e+08,30
15,16,3.16045e+08,3.16045e+08,30
11,26,3.4553e+08,3.4553e+08,90
34,4,3.5807e+08,3.5807e+08,290
33,4,3.5851e+08,3.5851e+08,310
54,15,3.70406e+08,3.70406e+08,60
56,11,3.80816e+08,3.80816e+08,130
18,34,3.84511e+08,3.84511e+08,520
19,56,4.0305e+08,4.0305e+08,740
43,9,4.1125e+08,4.1125e+08,100
22,56,4.33916e+08,4.33916e+08,660
69,22,4.4718e+08,4.4718e+08,2240
25,54,4.94626e+08,4.94626e+08,840
50,18,5.0946e+08,5.0946e+08,1730
13,43,5.63015e+08,5.63015e+08,1990
