Block_ID,Prev_Blk_ID,Arrival_time,Time_addn_to_tree,Num_txnsis_malicious_mined
16,1,2.53412e+07,2.53412e+07,10
5,1,3.87471e+07,3.87471e+07,10
6,1,4.83078e+07,4.83078e+07,10
28,6,1.49331e+08,1.49331e+08,10
14,28,1.64658e+08,1.64658e+08,60
26,5,2.07947e+08,2.07947e+08,10
8,6,2.36316e+08,2.36316e+08,80
4,14,2.98636e+08,2.98636e+08,70
9,8,3.05905e+08,3.05905e+08,30
15,16,3.16049e+08,3.16049e+08,30
11,26,3.45515e+08,3.45515e+08,90
34,4,3.58091e+08,3.58091e+08,290
33,4,3.5853e+08,3.5853e+08,310
54,15,3.70412e+08,3.70412e+08,60
56,11,3.80801e+08,3.80801e+08,130
18,34,3.84489e+08,3.84489e+08,520
19,56,4.03053e+08,4.03053e+08,740
43,9,4.11261e+08,4.11261e+08,100
22,56,4.33919e+08,4.33919e+08,660
69,22,4.47183e+08,4.47183e+08,2240
25,54,4.94651e+08,4.94651e+08,840
50,18,5.08505e+08,5.08505e+08,1730
13,43,5.63735e+08,5.63735e+08,1990
