Block_ID,Prev_Blk_ID,Arrival_time,Time_addn_to_tree,Num_txnsis_malicious_mined
16,1,2.53412e+07,2.53412e+07,10
5,1,3.90451e+07,3.90451e+07,10
6,1,4.82958e+07,4.82958e+07,10
28,6,1.49319e+08,1.49319e+08,10
14,28,1.64646e+08,1.64646e+08,60
26,5,2.08246e+08,2.08246e+08,10
8,6,2.36767e+08,2.36767e+08,80
4,14,2.98636e+08,2.98636e+08,70
9,8,3.06581e+08,3.06581e+08,30
15,16,3.16055e+08,3.16055e+08,30
11,26,3.45523e+08,3.45523e+08,90
34,4,3.58079e+08,3.58079e+08,290
33,4,3.58518e+08,3.58518e+08,310
54,15,3.70417e+08,3.70417e+08,60
56,11,3.80809e+08,3.80809e+08,130
18,34,3.84508e+08,3.84508e+08,520
19,56,4.03053e+08,4.03053e+08,740
43,9,4.11708e+08,4.11708e+08,100
22,56,4.33919e+08,4.33919e+08,660
69,22,4.47183e+08,4.47183e+08,2240
25,54,4.94639e+08,4.94639e+08,840
50,18,5.08505e+08,5.08505e+08,1730
13,43,5.63018e+08,5.63018e+08,1990
