Block_ID,Prev_Blk_ID,Arrival_time,Time_addn_to_tree,Num_txnsis_malicious_mined
16,1,2.53197e+07,2.53197e+07,10
5,1,3.87256e+07,3.87256e+07,10
6,1,4.82865e+07,4.82865e+07,10
28,6,1.4931e+08,1.4931e+08,10
14,28,1.64643e+08,1.64643e+08,60
26,5,2.07926e+08,2.07926e+08,10
8,6,2.36293e+08,2.36293e+08,80
4,14,2.98613e+08,2.98613e+08,70
9,8,3.05883e+08,3.05883e+08,30
15,16,3.16869e+08,3.16869e+08,30
11,26,3.45538e+08,3.45538e+08,90
34,4,3.58076e+08,3.58076e+08,290
33,4,3.58507e+08,3.58507e+08,310
54,15,3.71229e+08,3.71229e+08,60
56,11,3.80825e+08,3.80825e+08,130
18,34,3.84489e+08,3.84489e+08,520
19,56,4.03019e+08,4.03019e+08,740
43,9,4.11238e+08,4.11238e+08,100
22,56,4.33887e+08,4.33887e+08,660
69,22,4.47125e+08,4.47125e+08,2240
25,54,4.94614e+08,4.94614e+08,840
50,18,5.08455e+08,5.08455e+08,1730
13,43,5.63639e+08,5.63639e+08,1990
