Block_ID,Prev_Blk_ID,Arrival_time,Time_addn_to_tree,Num_txnsis_malicious_mined
16,1,2.53535e+07,2.53535e+07,10
5,1,3.87594e+07,3.87594e+07,10
6,1,4.832e+07,4.832e+07,10
28,6,1.49343e+08,1.49343e+08,10
14,28,1.6467e+08,1.6467e+08,60
26,5,2.0796e+08,2.0796e+08,10
8,6,2.36328e+08,2.36328e+08,80
4,14,2.98649e+08,2.98649e+08,70
9,8,3.05917e+08,3.05917e+08,30
15,16,3.16079e+08,3.16079e+08,30
11,26,3.4559e+08,3.4559e+08,90
34,4,3.58105e+08,3.58105e+08,290
33,4,3.58545e+08,3.58545e+08,310
54,15,3.70441e+08,3.70441e+08,60
56,11,3.80879e+08,3.80879e+08,130
18,34,3.84474e+08,3.84474e+08,520
19,56,4.03071e+08,4.03071e+08,740
43,9,4.11274e+08,4.11274e+08,100
22,56,4.33937e+08,4.33937e+08,660
69,22,4.47214e+08,4.47214e+08,2240
25,54,4.9467e+08,4.9467e+08,840
50,18,5.08531e+08,5.08531e+08,1730
13,43,5.62941e+08,5.62941e+08,1990
