Block_ID,Prev_Blk_ID,Arrival_time,Time_addn_to_tree,Num_txnsis_malicious_mined
16,1,2.52982e+07,2.52982e+07,10
5,1,3.87106e+07,3.87106e+07,10
6,1,4.8256e+07,4.8256e+07,10
28,6,1.49279e+08,1.49279e+08,10
14,28,1.64642e+08,1.64642e+08,60
26,5,2.07911e+08,2.07911e+08,10
8,6,2.3627e+08,2.3627e+08,80
4,14,2.98636e+08,2.98636e+08,70
9,8,3.05861e+08,3.05861e+08,30
15,16,3.16011e+08,3.16011e+08,30
11,26,3.45535e+08,3.45535e+08,90
34,4,3.58073e+08,3.58073e+08,290
33,4,3.58471e+08,3.58471e+08,310
54,15,3.70372e+08,3.70372e+08,60
56,11,3.80822e+08,3.80822e+08,130
18,34,3.84499e+08,3.84499e+08,520
19,56,4.03004e+08,4.03004e+08,740
43,9,4.11215e+08,4.11215e+08,100
22,56,4.33872e+08,4.33872e+08,660
69,22,4.4711e+08,4.4711e+08,2240
25,54,4.94579e+08,4.94579e+08,840
50,18,5.08505e+08,5.08505e+08,1730
13,43,5.63003e+08,5.63003e+08,1990
