Block_ID,Prev_Blk_ID,Arrival_time,Time_addn_to_tree,Num_txnsis_malicious_mined
16,1,2.53382e+07,2.53382e+07,10
5,1,3.87441e+07,3.87441e+07,10
6,1,4.832e+07,4.832e+07,10
28,6,1.49343e+08,1.49343e+08,10
14,28,1.6467e+08,1.6467e+08,60
26,5,2.07944e+08,2.07944e+08,10
8,6,2.36313e+08,2.36313e+08,80
4,14,2.98649e+08,2.98649e+08,70
9,8,3.05902e+08,3.05902e+08,30
15,16,3.16052e+08,3.16052e+08,30
11,26,3.45562e+08,3.45562e+08,90
34,4,3.58105e+08,3.58105e+08,290
33,4,3.58545e+08,3.58545e+08,310
54,15,3.70413e+08,3.70413e+08,60
56,11,3.80849e+08,3.80849e+08,130
18,34,3.84442e+08,3.84442e+08,520
19,56,4.03071e+08,4.03071e+08,740
43,9,4.11258e+08,4.11258e+08,100
22,56,4.33916e+08,4.33916e+08,660
69,22,4.4718e+08,4.4718e+08,2240
25,54,4.94646e+08,4.94646e+08,840
50,18,5.08531e+08,5.08531e+08,1730
13,43,5.62898e+08,5.62898e+08,1990
